company,lat,long
Balaio IMS,-23.5561515,-46.6620201
Restaurante America,-23.5573907,-46.6616714
Amaranto,-23.5579586,-46.6608453
Bob’s,-23.5593773,-46.6583347
Hakka Sushi Paulista,-23.5606508,-46.6585037
Restaurante Magnólia,-23.5624309,-46.6559368
Outback Steakhouse,-23.5635495,-46.6528738
Restaurant Trebbiano,-23.5642551,-46.6519618
Café Creme,-23.5666079,-46.6508916
Restaurante Pub Kei,23.5654426,-46.6504517
Bovinu's Fast Grill,-23.5670406,-46.6501781
Raful Cozinha Árabe,-23.5668439,-46.6483837
Venezinha Café Gastronômico,-23.5679453,-46.6478392
Restaurante Aspargus Salad Bar,-23.5686681,-46.6468602
Café e Restaurante PanAroma,-23.5703227,-46.6458115
rei do filet restaurante,-23.5715396,-46.6459993
Bánh Mì Vietnam,-23.562603,-46.6491187
Templo da Carne Marcos Bassi,-23.5590798,-46.6465625
Bar Bela Santos,-23.5572481,-46.6630125
Banana Split,-23.5592052,-46.6593432
Pirajá - Paulista,-23.5617842,-46.6581953
Choperia Opção,-23.5614966,-46.6550732
Bar e Lanchonete Petite,-23.5624997,-46.6556901
The View,-23.5664284,-46.6527799
Puppy,-23.5654254,-46.6522273
Frank Bar,-23.5637314,-46.6513717
The Blue Pub,-23.563048,-46.6503257
Terraço Paulista,-23.5650935,-46.649588
Brejada - Consultoria Cervejeira e Eventos,-23.5672053,-46.6499957
Bar e Mercearia Vila Macedonia,-23.5689558,-46.646812
Olaria Bar & Grill,-23.5690418,-46.644178
Restaurante Aspargus Salad Bar,-23.5686681,-46.6468602
Titus Bar - Cervejas Especiais,-23.5595469,-46.6497838
The Blue Pub,-23.563048,-46.6503257
Frank Bar,-23.5637314,-46.6513717
Tatu Bola Bar,-23.5663449,-46.6690341
1101bar,-23.5663645,-46.6642436
G&T Gin Bar,-23.5665292,-46.6627818
Bar de Cima,-23.5614179,-46.6705066
BalcãoA3o,-23.5591806,-46.6687846
O'Malley's Bar,-23.5582045,-46.6660407
Bar Bela Santos,-23.5572481,-46.6630125
Must Bar,-23.5640978,-46.6557813
Sancho Bar Y Tapas,-23.5561785,-46.6580209
Igrejinha Bar,-23.5528814,-46.6588122
Eugênio Bar,-23.5664924,-46.6510579
Mirante Gastronomia & Bar,-23.5752591,-46.6393071
